term,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
C(REF_AREA)[T.MHL],-19768.55841863226,2294.875988076087,-8.614216420123538,2.4946726366052068e-15,-24294.815021931485,-15242.301815333032
C(REF_AREA)[T.MKD],-21855.241066456394,1524.2732165878695,-14.33813887734641,3.210692264586588e-32,-24861.613414095533,-18848.868718817255
C(REF_AREA)[T.MLI],-24112.480906204182,2321.3860893683855,-10.387104935553753,2.3284809800341796e-20,-28691.02422201069,-19533.937590397676
C(REF_AREA)[T.MLT],-15086.80100798124,1325.8965459228925,-11.378565736801166,2.7563246084880686e-23,-17701.908764329488,-12471.693251632989
C(REF_AREA)[T.MMR],-22700.923652803904,1335.6077273296034,-16.996699845539105,3.313058762716896e-40,-25335.18507984998,-20066.662225757827
C(REF_AREA)[T.MNE],-23677.49069934659,1217.3432160932662,-19.450135661274796,2.318966610147512e-47,-26078.49528475906,-21276.486113934116
C(REF_AREA)[T.MNG],-21395.722925319234,1915.1783021350507,-11.171661093626202,1.1371558326958437e-22,-25173.089755411653,-17618.356095226816
C(REF_AREA)[T.MOZ],-23078.601071274315,2239.843921797404,-10.303664843197854,4.077761383102329e-20,-27496.316187067758,-18660.885955480873
C(REF_AREA)[T.MRT],-24221.631012984697,2139.3981653040278,-11.321703180736618,4.070945661046604e-23,-28441.23378154726,-20002.028244422134
C(REF_AREA)[T.MUS],-20176.7917814361,561.2017062576639,-35.95283399258297,1.8032527321691864e-87,-21283.667683197167,-19069.91587967503
C(REF_AREA)[T.MWI],-25842.053280579385,2024.0814925992865,-12.767298834096604,1.8472375741685558e-27,-29834.213322819334,-21849.893238339435
C(REF_AREA)[T.MYS],-21441.634881033264,727.3836483706881,-29.47775211755408,2.1846260227397196e-73,-22876.27669116865,-20006.99307089788
C(REF_AREA)[T.NAM],-20077.905002705604,2264.3281460354838,-8.867047401172465,5.020775609063647e-16,-24543.911129521028,-15611.89887589018
C(REF_AREA)[T.NER],-26396.96264680808,2235.4186107297933,-11.808509833507339,1.429111269220037e-24,-30805.949581407633,-21987.975712208525
C(REF_AREA)[T.NGA],-21904.234855855655,2059.030042241198,-10.638132716127588,4.2844934406742066e-21,-25965.32502957737,-17843.14468213394
C(REF_AREA)[T.NIC],-26264.52271115171,1335.1484129108355,-19.671612876272594,5.405493694674492e-48,-28897.878217820504,-23631.167204482914
C(REF_AREA)[T.NLD],2828.5146594834896,1063.411858141924,2.6598487103817803,0.008474813744335558,731.1137672562795,4925.915551710699
C(REF_AREA)[T.NOR],26175.82257216989,1201.0553103972338,21.794019264202387,6.286292519171587e-54,23806.943139094034,28544.70200524575
C(REF_AREA)[T.NPL],-25086.576800288574,1495.1230083278865,-16.77893836196452,1.4690773052619845e-39,-28035.455268820588,-22137.69833175656
C(REF_AREA)[T.NZL],-3628.8618647565377,1187.7194173015077,-3.055319136737945,0.0025662459476270202,-5971.438493454707,-1286.2852360583684
C(REF_AREA)[T.OMN],-10214.360275297826,1168.2665617372763,-8.743176095110103,1.1038591331516128e-15,-12518.569420782034,-7910.1511298136165
C(REF_AREA)[T.PAK],-26456.70580822095,1368.0209505515788,-19.33940105051297,4.812895614522951e-47,-29154.89686214228,-23758.514754299624
C(REF_AREA)[T.PAN],-26260.54135618387,941.3907890053239,-27.895473020222376,1.227411702007303e-69,-28117.276228638835,-24403.806483728902
C(REF_AREA)[T.PER],-25140.15969749322,1214.8368389351933,-20.694268474380983,6.986699845265544e-51,-27536.22087584534,-22744.098519141102
C(REF_AREA)[T.PHL],-25802.659154848352,1112.7507207534925,-23.188175638633815,1.0723784221061158e-57,-27997.37264865196,-23607.945661044745
C(REF_AREA)[T.PLW],-10518.882428119567,1890.8187887804133,-5.563136187632392,8.758052375188604e-08,-14248.20421841573,-6789.560637823402
C(REF_AREA)[T.PNG],-21644.366700989973,1445.0330791853214,-14.978457595719956,3.70730009853661e-34,-24494.451215635876,-18794.28218634407
C(REF_AREA)[T.POL],-21827.929263036473,782.3418454402344,-27.90075641518779,1.1919403122111408e-69,-23370.966866096598,-20284.891659976347
C(REF_AREA)[T.PRI],-10624.09067054303,1591.2883499945544,-6.6764082515776515,2.5374777049895345e-10,-13762.63908855767,-7485.542252528391
C(REF_AREA)[T.PRT],-17551.679015624002,642.1986790431114,-27.33060591431977,2.877842224421571e-68,-18818.307812453153,-16285.050218794851
C(REF_AREA)[T.PRY],-25505.759831553805,1059.755084075691,-24.06759846195945,5.104878950691189e-60,-27595.948352458967,-23415.571310648644
C(REF_AREA)[T.PSE],-28589.87011151,2506.4229433244977,-11.4066423576496,2.273249137755014e-23,-33533.36747556323,-23646.37274745677
C(REF_AREA)[T.PYF],-3708.434459509713,1327.978114876594,-2.792541848367983,0.005755996075092762,-6327.647760240696,-1089.2211587787306
C(REF_AREA)[T.QAT],32905.124003351135,1411.671521535513,23.30933471517464,5.103645075943248e-58,30120.839545611743,35689.40846109053
C(REF_AREA)[T.ROU],-21190.474675765276,785.2824911476847,-26.98452456872628,2.0267611335278034e-67,-22739.31220750149,-19641.63714402906
C(REF_AREA)[T.RUS],-17983.726647916505,1997.8125045416432,-9.001708922651128,2.1216124717314665e-16,-21924.075532919334,-14043.377762913673
C(REF_AREA)[T.RWA],-25661.20550311946,1938.7474477026446,-13.235971262542314,7.041842268887376e-29,-29485.05850558622,-21837.3525006527
